LoanStatus,CurrentLoanAmount,Term,CreditScore,AnnualIncome,MonthlyDebt,YearsofCreditHistory,MonthsSinceLastDelinquent,NumberofOpenAccounts,Bankruptcies,CurrentCreditBalance,MaximumCredit
Fully Paid,289388,Short Term,,,9758.4,16,NA,12,0,439033,1735030
Fully Paid,144562,Short Term,751,1060922,19750.88,21.8,NA,7,0,314773,1035408
Fully Paid,211222,Short Term,694,947625,8923.35,18,65,9,1,93081,397694
Fully Paid,162360,Short Term,720,486875,8560.83,15.1,46,16,0,129504,434654
Fully Paid,99999999,Short Term,699,2770162,48708.4,25.6,25,13,0,348802,449262
Fully Paid,311058,Long Term,675,1343167,21378.8,31.4,17,11,0,247912,541596
Fully Paid,767536,Long Term,724,6628720,53747.96,29.5,NA,13,0,1426425,2510112
Charged Off,133034,Short Term,,,30520.46,13.8,NA,23,0,113278,1561406
Fully Paid,389884,Short Term,657,4776125,42985.22,21.5,4,14,1,237500,562386
Fully Paid,163966,Short Term,678,719910,12778.26,6.4,NA,9,0,66025,138248
Fully Paid,433312,Short Term,736,1010401,22228.86,16.1,11,19,0,201780,613228
Fully Paid,99999999,Short Term,737,2015159,21494.89,10.5,54,16,0,321214,478060
Fully Paid,99999999,Short Term,748,1875680,9393.98,13,NA,14,0,232674,1353858
Fully Paid,89320,Short Term,748,1832075,13312.92,19,NA,6,0,127946,216260
Fully Paid,392282,Long Term,688,974662,10396.42,12,10,11,0,35663,242946
Fully Paid,444620,Short Term,,,15292.34,11.8,NA,9,0,373350,522742
Fully Paid,262988,Short Term,743,1340279,9348.38,28.2,35,9,0,499548,681296
Fully Paid,498586,Long Term,666,1351679,32214.88,12.2,NA,15,0,205637,433686
Fully Paid,378334,Short Term,714,2120514,35695.3,17,24,12,0,75335,413402
Fully Paid,99999999,Short Term,734,1355802,15365.68,44.5,31,8,0,25441,1841796
Charged Off,194942,Short Term,742,1212238,25254.99,27.4,19,13,1,176396,339834
Fully Paid,731566,Short Term,705,1377443,13429.96,20.4,65,18,0,563008,1070432
Fully Paid,479358,Short Term,,,22659.59,22.4,41,13,0,807462,1391302
Fully Paid,336908,Short Term,,,6652.47,29.1,NA,8,0,277419,1119250
Fully Paid,270116,Short Term,,,15649.92,31.3,NA,22,0,648850,3996322
Fully Paid,156772,Short Term,748,1411966,22591.38,18,73,10,0,38456,251548
Fully Paid,306548,Short Term,,,11157.37,17.5,NA,10,0,200127,387508
Fully Paid,432080,Short Term,,,35360.14,17.9,24,22,0,160550,685982
Fully Paid,158818,Short Term,731,315666,8522.83,31.3,60,13,0,260072,756646
Charged Off,78738,Short Term,6240,536370,14034.92,10.5,15,14,0,138586,266112
Fully Paid,453464,Short Term,712,895147,17007.85,14.2,77,12,1,137845,222926
Fully Paid,595672,Short Term,685,1305927,13603.43,25.9,NA,8,0,108148,129624
Fully Paid,166672,Short Term,705,1048667,16166.91,16,18,10,0,167656,267014
Fully Paid,132792,Short Term,751,668990,6132.25,14.7,NA,5,0,61199,214742
Charged Off,119504,Short Term,745,938315,11807.17,13,9,11,0,32300,104170
Fully Paid,33022,Short Term,723,1673007,25234.47,23.3,80,13,0,125609,323928
Fully Paid,448976,Short Term,742,4071396,10348.16,19.7,NA,7,0,486001,1253340
Fully Paid,280588,Short Term,717,671080,17447.89,10,70,10,1,168169,470360
Charged Off,556336,Long Term,714,1402960,19524.4,19.5,38,5,0,317338,389246
Fully Paid,541310,Short Term,722,1682982,52733.36,17.9,35,13,0,356288,619432
Fully Paid,311872,Long Term,680,1063810,28191.06,12.2,NA,10,0,391723,591338
Fully Paid,340604,Long Term,618,928701,21205.52,14.4,NA,5,0,291137,368808
Charged Off,765160,Long Term,719,2643242,34582.47,20.5,47,19,0,249755,489302
Charged Off,109802,Short Term,745,474069,1497.39,11,NA,2,0,91048,186604
Charged Off,349756,Long Term,737,2491945,23258.28,21.5,NA,7,0,270332,660396
Fully Paid,545886,Short Term,718,1565182,41477,15,6,16,0,80465,296714
Fully Paid,99999999,Short Term,750,2435667,31257.66,12.3,NA,10,0,72276,1073028
Fully Paid,354046,Long Term,676,1815469,5522.16,13,6,6,0,20976,70840
Fully Paid,472098,Long Term,692,2316575,24517.22,28.2,NA,9,0,454176,968506
Charged Off,86174,Short Term,7210,837311,10884.91,13.6,82,15,0,360867,671770
Charged Off,509586,Long Term,678,1816001,26180.67,13.9,74,32,1,115672,319638
Fully Paid,99999999,Short Term,709,1806083,29348.92,16.1,25,22,0,492556,724680
Fully Paid,218988,Short Term,740,775409,8141.88,14.9,9,5,0,100206,186230
Fully Paid,176462,Short Term,,,14223.59,26.5,NA,7,0,171703,1080552
Fully Paid,328262,Short Term,746,1133958,20411.32,10.2,NA,10,0,229463,472758
Charged Off,663168,Long Term,732,1527296,22145.83,17,32,8,0,331075,543774
Fully Paid,338030,Short Term,,,12144.04,16.9,NA,9,0,321157,419232
Charged Off,446094,Short Term,,,30975.51,7,0,9,0,76,85998
Fully Paid,133078,Short Term,709,804460,9117.34,12.5,NA,10,0,111568,243760
Fully Paid,278058,Short Term,,,18706.64,15.9,NA,10,0,207423,1171566
Fully Paid,99999999,Short Term,742,1359792,17224.07,10.7,NA,8,0,57000,150678
Fully Paid,752290,Long Term,649,2320375,39252.86,13.4,16,13,0,431053,513502
Fully Paid,99999999,Short Term,734,622991,8046.88,10.7,75,15,0,69179,238370
Fully Paid,105556,Short Term,,,18234.11,20.7,7,13,0,220894,846890
Fully Paid,262724,Long Term,695,1229072,21508.76,21.8,NA,5,0,337725,394218
Fully Paid,54076,Short Term,744,485697,2655.06,9,NA,6,0,19988,282260
Charged Off,552882,Long Term,686,1262151,23770.71,23.4,48,13,0,299706,694056
Fully Paid,257400,Short Term,,,13740.99,15.7,NA,11,0,191159,274626
Fully Paid,462088,Short Term,,,17759.3,14.8,NA,13,0,627418,1603712
Fully Paid,460152,Short Term,,,21330.92,20.5,6,13,0,1220978,5396072
Charged Off,402534,Short Term,741,3090160,23639.8,19.6,6,15,0,691467,1332188
Fully Paid,129844,Short Term,,,16120.17,14.2,NA,10,0,110618,212058
Charged Off,232716,Short Term,637,1049427,12942.99,9.5,61,20,0,226442,389026
Fully Paid,286462,Long Term,719,1380426,27378.62,15.7,75,10,0,177916,335522
Fully Paid,223256,Short Term,740,804916,6774.64,34.4,7,13,0,308142,587818
Fully Paid,348832,Long Term,704,497306,3257.36,13,NA,4,0,90022,167860
Fully Paid,537878,Short Term,743,1296807,24963.53,18.4,70,12,0,249223,515306
Fully Paid,196460,Short Term,746,942590,15160.1,23.5,NA,8,0,138700,410718
Fully Paid,214786,Short Term,723,883329,11924.97,14.3,79,5,0,154755,193314
Fully Paid,109538,Short Term,697,567606,5770.68,14.3,62,10,0,86716,151206
Fully Paid,259116,Short Term,,,21678.81,31.4,NA,9,0,254030,720918
Fully Paid,117986,Short Term,694,1886890,3207.77,12,19,7,0,80408,351296
Fully Paid,133804,Short Term,725,1386734,16756.48,13.6,NA,11,0,105450,260898
Fully Paid,87846,Short Term,736,625879,6988.96,50.1,56,16,0,96330,714978
Charged Off,332684,Long Term,722,881087,12702.26,14.5,NA,9,0,472226,640266
Fully Paid,190498,Short Term,706,892164,8996.12,13.2,64,6,0,88160,117744
Fully Paid,448822,Short Term,741,1027444,21576.4,33.1,NA,8,0,669028,981838
Fully Paid,229086,Short Term,715,787626,6543.79,23.9,36,7,1,71231,152460
Charged Off,393558,Long Term,678,2317392,22015.3,14.7,27,8,0,124184,145552
Fully Paid,151954,Short Term,707,562419,14341.77,12.5,NA,9,0,107692,219142
Fully Paid,99999999,Short Term,726,1153851,7125,13.5,39,7,0,165984,286440
Fully Paid,254562,Short Term,738,669123,13549.66,17.5,NA,13,0,261383,743600
Charged Off,87912,Short Term,7500,960184,3432.73,43.3,42,9,0,86051,301026
Charged Off,156178,Short Term,716,1124040,8617.64,12,33,9,0,6194,108790
Fully Paid,645018,Long Term,737,2692471,40386.97,24,NA,21,0,640376,1468302
Fully Paid,605726,Short Term,748,3609145,43610.7,23,59,10,0,378423,475772
Fully Paid,99999999,Short Term,741,1288523,9041.34,16.2,NA,4,0,95855,116468
Charged Off,168300,Long Term,7020,688522,11762.14,17,30,9,0,128041,273042
Fully Paid,174460,Short Term,723,1318429,10547.47,15,55,14,0,55176,443586
Fully Paid,768394,Long Term,651,1651252,19264.67,29.2,30,6,0,421420,559592
Fully Paid,314226,Long Term,723,2638454,34959.43,18.2,54,10,0,662815,969034
Fully Paid,64966,Short Term,723,1224968,23172.21,44,48,16,0,858154,1344574
Fully Paid,300366,Short Term,730,833188,13400.32,17.9,37,7,0,179721,338932
Fully Paid,263648,Short Term,736,1138518,12808.28,15,NA,6,1,61788,202092
Fully Paid,99999999,Short Term,725,1048363,14152.91,21,NA,11,1,210045,299156
Fully Paid,716958,Short Term,718,1934960,31765.72,10,24,9,0,168815,228624
Charged Off,459602,Long Term,712,982870,12859.01,15.6,NA,6,0,390621,468204
Fully Paid,405856,Long Term,708,1155751,32264.85,22.7,NA,13,0,338181,594198
Charged Off,547580,Short Term,710,1125978,9758.4,13.8,58,6,0,435328,790064
Fully Paid,175428,Short Term,698,1136238,2594.45,30.5,68,4,0,70832,96470
Fully Paid,216370,Short Term,,,6446.89,8.2,NA,10,0,239970,551320
Fully Paid,99999999,Short Term,743,756352,11849.54,18.4,NA,9,1,46341,496870
Fully Paid,234806,Long Term,689,866799,3676.69,14.1,7,4,2,86051,167750
Charged Off,25806,Short Term,685,742976,6377.16,7.1,35,5,0,8189,47432
Fully Paid,332706,Short Term,735,957790,10855.08,6.6,NA,9,0,220571,498828
Fully Paid,333124,Short Term,703,1300246,13110.76,14.6,22,10,0,173128,384032
Fully Paid,441276,Short Term,747,2305669,24017.52,17.8,NA,14,0,678851,2245848
Fully Paid,327756,Short Term,707,830319,9271.81,15.8,NA,6,0,245727,292732
Fully Paid,99999999,Short Term,736,1111367,16577.88,13.5,77,8,0,378746,594242
Fully Paid,476586,Short Term,707,1403207,18241.52,13.4,11,6,0,91580,214654
Fully Paid,263450,Short Term,,,7319.18,16.9,NA,17,1,169100,621610
Fully Paid,261800,Short Term,738,1488536,21087.72,16.5,45,8,0,178220,274780
Charged Off,433136,Long Term,682,1178323,17969.44,17.6,NA,16,0,355471,426514
Charged Off,322124,Long Term,716,1020034,16915.32,17.8,NA,10,0,205865,341506
Charged Off,107536,Short Term,,,22176.61,13.5,NA,7,0,107483,197868
Fully Paid,355410,Short Term,,,13237.11,13.7,NA,6,1,297293,397518
Fully Paid,437668,Short Term,749,2683693,5993.55,21.5,NA,7,0,326496,562584
Fully Paid,377322,Short Term,740,1288162,17068.08,36.3,16,8,0,358549,494824
Fully Paid,606122,Long Term,693,1395911,24079.46,22.5,NA,8,1,168378,332156
Fully Paid,520982,Long Term,724,1031111,17013.17,15,NA,12,0,267976,475178
Charged Off,304590,Short Term,746,1202510,28960.18,19.7,NA,9,0,314830,619982
Charged Off,472362,Short Term,732,1075058,22218.03,16.1,NA,13,0,392369,542146
Charged Off,322872,Long Term,7080,985245,10895.17,17.5,NA,7,0,106894,357698
Fully Paid,149402,Short Term,727,841491,18723.17,8.6,NA,14,0,163571,539572
Fully Paid,150458,Short Term,737,1330513,4446.19,13.9,NA,13,0,129827,316492
Fully Paid,268268,Short Term,,,6896.62,16,NA,10,0,207860,429044
Fully Paid,341352,Long Term,712,751108,10327.83,13.3,NA,11,0,81377,110858
Charged Off,432256,Short Term,737,2053216,16305.8,17.4,NA,11,0,316331,638088
Fully Paid,301114,Long Term,645,825246,5948.71,9,NA,10,1,59888,372746
Fully Paid,79398,Short Term,718,761824,13459.03,15.5,NA,13,0,159315,317526
Fully Paid,171842,Short Term,724,612199,6734.17,11.8,NA,12,0,330714,558228
Fully Paid,329120,Long Term,715,1515896,21601.48,13,NA,19,0,332576,683980
Fully Paid,486288,Long Term,707,1654577,22612.47,14.9,14,18,0,407835,821282
Fully Paid,104368,Short Term,691,853974,22559.08,20,32,10,1,116223,195580
Fully Paid,205854,Short Term,717,1898860,31647.73,22.3,15,6,0,195738,251284
Charged Off,96690,Short Term,673,280136,4598.76,17.8,51,4,0,179037,329582
Fully Paid,111408,Short Term,733,1154592,18762.12,20.4,47,9,0,283936,465674
Fully Paid,284152,Short Term,700,1054519,15202.66,14,36,12,0,182780,366146
Charged Off,269170,Short Term,7140,1259206,15110.51,10.2,NA,9,1,392730,639584
Fully Paid,149116,Short Term,700,1380160,18171.98,10.8,NA,5,0,95171,112574
Fully Paid,396792,Long Term,731,745997,7522.29,18.7,NA,11,0,295944,835802
Fully Paid,128832,Short Term,719,1483520,8381.85,30.9,38,4,0,36708,64372
Fully Paid,152790,Short Term,743,678661,4450.94,14,8,5,0,119510,229086
Charged Off,152966,Short Term,7080,1334902,10845.96,17.1,41,13,0,82593,302654
Charged Off,292292,Short Term,741,666805,6223.45,15,NA,7,0,81016,198352
Fully Paid,449460,Long Term,658,1057768,19039.71,16.3,NA,8,0,367992,510290
Fully Paid,86724,Short Term,716,580469,7352.62,4.9,NA,6,0,109687,182226
Fully Paid,67166,Long Term,,,42060.68,27.4,NA,11,0,679725,927014
Charged Off,223850,Short Term,,,7684.74,17.3,NA,8,0,87609,301928
Fully Paid,763840,Short Term,742,1639776,23640.18,21.4,NA,9,0,606461,1141800
Charged Off,83864,Short Term,699,564414,11711.6,11.9,53,12,0,18639,107932
Fully Paid,99999999,Short Term,724,687420,6530.49,11.1,49,4,0,18715,37620
Charged Off,142846,Short Term,750,654227,16246.71,17.2,16,9,0,53694,112662
Charged Off,551980,Long Term,720,1906840,33528.54,22.6,NA,6,0,334780,441518
Fully Paid,504658,Short Term,685,3874100,4100.2,16,1,7,0,167827,397408
Fully Paid,99999999,Short Term,699,656849,3848.07,11.7,60,10,0,30552,198682
Charged Off,177628,Long Term,709,843771,5027.59,10.3,NA,8,0,94221,172062
Fully Paid,99999999,Short Term,739,1004321,30547.82,13.8,NA,13,0,137997,504086
Fully Paid,398464,Long Term,715,975004,15356.37,20.5,NA,13,0,326857,650276
Fully Paid,732028,Short Term,737,1724193,32041.22,18.5,21,14,0,628425,1017698
Fully Paid,660132,Long Term,722,1634323,18931.03,16.7,NA,17,0,452713,927762
Fully Paid,25894,Short Term,748,1024727,12723.73,10.2,NA,12,0,30590,492008
Fully Paid,553366,Short Term,,,35698.91,21.5,47,17,0,305349,657184
Fully Paid,77132,Short Term,657,2093762,47284.16,15.9,81,13,0,588449,703142
Fully Paid,128634,Short Term,695,463657,9891.4,8.7,16,9,0,76133,134178
Fully Paid,429264,Short Term,735,1816571,34060.73,11.1,37,20,0,387353,1520398
Fully Paid,131032,Short Term,,,2696.86,9.9,31,8,0,77520,255684
Charged Off,427988,Long Term,729,1624082,3640.78,19.2,NA,5,0,132088,378576
Fully Paid,204248,Short Term,737,779893,10788.39,23,NA,10,0,225663,588522
Fully Paid,653334,Short Term,722,2068891,29309.21,21.3,53,9,0,294291,548724
Fully Paid,226336,Short Term,724,1409610,6331.56,17,NA,5,0,79192,230428
Fully Paid,99999999,Short Term,735,1520608,20376.17,17.8,NA,4,0,12084,19800
Charged Off,216612,Short Term,722,897959,19006.65,10.7,NA,14,0,321670,955042
Charged Off,218130,Short Term,728,602832,9142.8,17.6,26,10,0,202616,239888
Fully Paid,449768,Long Term,,,31269.06,22.2,NA,10,0,403028,1515118
Fully Paid,431288,Short Term,738,1378165,33879.85,28.8,NA,15,1,280687,409838
Fully Paid,541794,Long Term,674,1538145,12766.67,33.7,64,9,0,300029,557634
Charged Off,448404,Short Term,746,1166220,19339.72,14.9,20,17,0,306907,504064
Fully Paid,117854,Short Term,709,848958,15069.09,15.4,NA,10,0,404073,609994
Fully Paid,537196,Long Term,654,2551643,55072.83,27,NA,16,0,734597,1466542
Fully Paid,196108,Short Term,715,865602,11397.34,18.8,29,11,1,185478,259402
Fully Paid,337656,Short Term,744,1205322,12254.05,11.4,NA,6,0,41876,119416
Charged Off,441628,Short Term,,,34469.61,16,46,5,0,58482,90530
Fully Paid,448272,Long Term,716,1045285,16289.08,23,24,7,0,115558,157432
Charged Off,581592,Long Term,,,20455.02,17.5,NA,13,0,363983,629970
Charged Off,63140,Short Term,733,233681,2122.49,14.9,NA,3,0,58463,119592
Fully Paid,223344,Short Term,719,1157328,24111,17.4,NA,8,0,100624,236830
Fully Paid,436172,Long Term,744,1054747,13623.76,22.2,NA,19,0,387315,2156110
Fully Paid,157146,Short Term,735,678566,12610.11,16.5,NA,7,0,116793,426602
Fully Paid,178046,Short Term,716,2815781,18537.35,22.5,NA,9,0,486248,578666
Fully Paid,99999999,Short Term,721,805733,12757.55,15.9,45,9,0,93347,195448
Fully Paid,99999999,Short Term,746,456646,2481.02,18.8,56,5,0,0,0
Fully Paid,216194,Short Term,720,1077528,8081.46,13.7,14,5,1,96463,174240
Fully Paid,430100,Short Term,739,1448655,23782.11,15.4,NA,13,0,400178,716188
Fully Paid,562760,Short Term,738,1263652,12426,13.1,NA,8,0,478021,684178
Fully Paid,215006,Short Term,,,22042.47,29.1,NA,10,0,387714,464266
Fully Paid,325622,Short Term,,,8831.01,15.2,48,25,0,144172,415250
Fully Paid,118998,Short Term,686,576327,10037.7,11.1,NA,11,0,320834,518144
Charged Off,334356,Short Term,7490,1636318,25635.75,11.7,NA,15,0,271928,1363098
Fully Paid,266926,Long Term,725,1632936,20139.43,16,NA,10,1,119586,422180
Charged Off,224796,Short Term,681,573819,4925.37,11.4,20,6,0,115862,296780
Fully Paid,401852,Long Term,725,1263785,15059.97,15.3,39,6,1,58482,101376
Fully Paid,309540,Short Term,,,26895.83,16.5,NA,12,0,79686,262108
Fully Paid,273482,Long Term,693,1115699,13667.27,15.9,51,6,0,65683,109758
Fully Paid,323708,Short Term,723,1640061,21047.44,21.2,31,14,0,546782,924242
Charged Off,88528,Short Term,696,993833,2550.94,20.8,35,11,0,38532,241142
Fully Paid,249568,Short Term,,,12209.21,14.1,NA,17,0,300048,569536
Fully Paid,99999999,Short Term,713,606290,9145.08,14.7,NA,11,1,39026,122144
Fully Paid,416834,Short Term,,,17525.79,9.7,NA,13,0,219849,587884
Fully Paid,110902,Short Term,697,2202917,30290.18,11.5,NA,20,0,104291,377366
Fully Paid,132022,Short Term,727,855095,14180.08,17.6,55,10,0,130131,251108
Fully Paid,277948,Short Term,707,1118948,29465.58,15.7,63,11,1,66994,129294
Fully Paid,219186,Short Term,748,2233697,14779.72,20.6,37,11,0,281618,939708
Fully Paid,178684,Short Term,739,1176727,19514.14,20.7,45,11,0,192337,281534
Fully Paid,108526,Short Term,743,1312045,7380.17,19,56,10,0,71953,108504
Fully Paid,222156,Short Term,,,16960.54,15.9,NA,7,0,170563,339922
Fully Paid,205524,Short Term,676,1167132,18479.59,22.5,41,19,0,592249,864754
Charged Off,134618,Short Term,746,968905,16196.74,17,NA,17,0,202540,1061170
Fully Paid,94974,Short Term,694,301093,4842.53,9.3,NA,7,0,162564,341000
Fully Paid,523248,Long Term,668,1468662,39286.68,14.8,NA,9,0,621585,906466
Fully Paid,588544,Long Term,687,1491158,15284.36,16.3,71,17,0,428963,1118722
Fully Paid,99999999,Short Term,725,2229137,14656.6,19.9,8,6,0,125742,224334
Fully Paid,319330,Short Term,,,35750.4,42.4,69,17,0,381995,785598
Fully Paid,391468,Short Term,742,629850,10025.16,17.8,14,8,0,57570,169620
Fully Paid,99999999,Short Term,737,1054937,15472.27,22.8,53,11,0,480434,881606
Charged Off,432168,Short Term,7360,1343642,21386.4,35,NA,16,0,351329,799216
Fully Paid,628474,Long Term,676,1235741,26568.46,26.5,7,12,0,252871,603702
Charged Off,513524,Long Term,659,1115718,28543.7,12.5,NA,11,0,469604,849618
Charged Off,765006,Long Term,736,6606775,5780.94,24.1,43,11,0,369170,1978966
Charged Off,141636,Short Term,7160,1051175,13227.04,12.5,18,12,0,151791,201322
Fully Paid,99999999,Short Term,750,931095,2498.5,15.5,NA,5,0,71459,220044
Fully Paid,130328,Short Term,740,1707207,12647.73,23,NA,12,0,445721,757834
Fully Paid,268664,Long Term,718,1160178,16049.11,13.3,NA,9,0,318839,818576
Fully Paid,753368,Short Term,,,75878.02,43.3,NA,19,0,834784,1378872
Fully Paid,448712,Long Term,696,1264602,33722.91,16.7,22,28,0,328054,895906
Fully Paid,334686,Short Term,742,963490,12284.45,20.5,58,15,0,406220,863060
Fully Paid,125004,Short Term,,,27041.75,19.5,31,18,1,247342,667568
Fully Paid,99999999,Short Term,728,311372,1873.4,10.5,NA,3,0,92378,122958
Charged Off,242616,Short Term,,,41396.25,18,NA,9,0,522690,745338
Fully Paid,175076,Short Term,742,748486,7983.8,36.4,NA,7,0,184490,240856
Charged Off,107712,Short Term,744,576688,7256.67,13.5,NA,15,0,263321,671572
Fully Paid,155210,Short Term,744,1053265,17466.51,13.3,NA,8,0,492841,640464
Fully Paid,99999999,Short Term,747,914432,15088.09,16.6,NA,8,0,202084,403458
Fully Paid,712404,Long Term,618,6283072,20262.93,14.7,45,10,1,135641,358556
Fully Paid,753610,Long Term,676,2212835,35221.06,17.2,NA,17,0,579158,1086866
Fully Paid,154748,Short Term,748,1603657,8539.55,29.2,NA,11,0,9842,1425820
Charged Off,251416,Short Term,720,1057293,13480.5,9,NA,12,0,138377,222838
Fully Paid,764390,Long Term,705,1603220,34869.75,30.6,50,15,0,425448,1089902
Charged Off,215006,Short Term,,,20639.13,11.9,74,9,0,76551,284130
Fully Paid,616902,Long Term,647,1405772,18626.27,17.9,64,4,0,317338,433818
Fully Paid,99999999,Short Term,716,2848575,23263.41,31.5,10,14,0,371051,1053052
Fully Paid,99999999,Short Term,743,773300,16174.89,14.1,NA,19,0,450908,1549284
Fully Paid,447788,Short Term,,,6497.05,21.2,8,5,0,806379,2074886
Fully Paid,170962,Short Term,710,598082,7426.15,12.8,5,14,0,117211,622534
Fully Paid,99999999,Short Term,704,1160862,25442.14,14.8,13,9,0,607202,730092
Charged Off,340362,Short Term,,,22936.8,23.3,35,19,0,427025,1242340
